         12681992 function calls (12672568 primitive calls) in 6.645 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      325    0.000    0.000    0.000    0.000 _methods.py:55(_any)
       38    0.000    0.000    0.000    0.000 __init__.py:272(_compile)
       72    0.000    0.000    0.000    0.000 linecache.py:36(getlines)
      108    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       72    0.000    0.000    0.000    0.000 global_func.py:285(<dictcomp>)
      144    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(count_nonzero)
       80    0.000    0.000    0.000    0.000 common.py:1246(is_float_dtype)
       72    0.000    0.000    0.000    0.000 global_func.py:440(<dictcomp>)
      144    0.000    0.000    0.001    0.000 fromnumeric.py:2955(prod)
       72    0.000    0.000    0.000    0.000 linecache.py:26(getline)
       72    0.000    0.000    0.000    0.000 common.py:585(is_dtype_equal)
       42    0.000    0.000    0.000    0.000 warnings.py:466(__enter__)
      433    0.000    0.000    0.000    0.000 _methods.py:47(_sum)
       72    0.000    0.000    0.000    0.000 global_func.py:437(<listcomp>)
       36    0.000    0.000    0.001    0.000 managers.py:751(<listcomp>)
       72    0.000    0.000    0.000    0.000 global_func.py:441(<dictcomp>)
      154    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       36    0.000    0.000    0.000    0.000 blocks.py:236(make_block_same_class)
      144    0.000    0.000    0.000    0.000 arraysetops.py:630(<genexpr>)
       72    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       36    0.000    0.000    0.001    0.000 take.py:57(take_nd)
       37    0.000    0.000    0.000    0.000 missing.py:645(na_value_for_dtype)
       37    0.000    0.000    0.001    0.000 frame.py:609(__init__)
       36    0.000    0.000    0.000    0.000 shape_base.py:223(vstack)
      684    0.000    0.000    0.000    0.000 multiarray.py:345(where)
       72    0.000    0.000    0.008    0.000 <__array_function__ internals>:177(isin)
       72    0.000    0.000    0.008    0.000 <__array_function__ internals>:177(in1d)
       36    0.000    0.000    0.000    0.000 numeric.py:77(zeros_like)
      144    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.count_nonzero}
       42    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
       72    0.000    0.000    0.001    0.000 warnings.py:96(_showwarnmsg)
       40    0.000    0.000    0.000    0.000 base.py:690(_simple_new)
       36    0.000    0.000    0.000    0.000 model_run.py:144(update_wc)
      144    0.000    0.000    0.000    0.000 global_func.py:153(comps_riskstatus)
       39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       38    0.000    0.000    0.000    0.000 enum.py:192(__get__)
       84    0.000    0.000    0.000    0.000 common.py:1487(is_ea_or_datetimelike_dtype)
       36    0.000    0.000    0.000    0.000 cast.py:527(maybe_promote)
       37    0.000    0.000    0.000    0.000 missing.py:191(_isna)
      144    0.000    0.000    0.000    0.000 numeric.py:432(count_nonzero)
       72    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
       72    0.000    0.000    0.001    0.000 warnings.py:117(_formatwarnmsg)
       72    0.000    0.000    0.011    0.000 <__array_function__ internals>:177(digitize)
        6    0.000    0.000    0.000    0.000 {pandas._libs.lib.maybe_convert_objects}
       36    0.000    0.000    0.000    0.000 {built-in method pandas._libs.missing.checknull}
      120    0.000    0.000    0.000    0.000 common.py:156(<lambda>)
       72    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       72    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(broadcast_arrays)
       47    0.000    0.000    0.000    0.000 common.py:1278(is_bool_dtype)
      252    0.000    0.000    0.000    0.000 stride_tricks.py:542(<genexpr>)
       42    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      191    0.000    0.000    0.000    0.000 common.py:1556(get_dtype)
       72    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(around)
      144    0.000    0.000    0.000    0.000 _methods.py:51(_prod)
       68    0.000    0.000    0.000    0.000 construction.py:744(_try_cast)
        1    0.000    0.000    0.000    0.000 construction.py:588(_homogenize)
      144    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       42    0.000    0.000    0.000    0.000 warnings.py:440(__init__)
       72    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(round_)
       72    0.000    0.000    0.000    0.000 stride_tricks.py:538(<listcomp>)
       36    0.000    0.000    0.000    0.000 base.py:5204(_validate_fill_value)
