scenario,intervention,level,comparison_baseline,location,location_code,births,delivery_share,anc,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths,maternal_deaths_per_100k,neonatal_deaths,neonatal_deaths_per_1000,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol
pulse_high,PULSE,high,overall_no_flags,Home,0,0.0,0.0,0.0,0.0,-0.01633501450776606,0.0,0.0,0.0,0.0,-0.0012371873664160545,-5.305000000000007,-7.345914036340332,0.7649999999998727,0.008571198463609875,0.0,0.0,0.0,0.0,0.0
pulse_high,PULSE,high,overall_no_flags,L2/3,1,438.9950000000026,0.0021601958468654425,0.00010584396300528098,-6.527806783560713e-05,-0.004279062630315907,-6.904788870262021e-05,5.420885467915387e-05,-1.1457142608182515e-05,-0.00021465165788268122,-0.00018082168660169722,-0.5500000000000007,-1.205664912980346,1.3800000000000097,0.007492648959050108,-0.002820402553667334,0.0,0.003312367862639054,0.0005889417501634964,0.0
pulse_high,PULSE,high,overall_no_flags,L4,2,-139.36499999999796,-0.0006857838795393811,0.0004478010028562407,0.0003159464982887411,-0.019864518550991264,0.00010462491508296187,0.00020504579317481841,0.00010549197480397288,0.0001330397013827797,-0.0011167115278024713,-0.7750000000000021,-1.3619207844497225,-0.14500000000003865,0.016724873197738077,0.0006156891389129115,0.0,0.0014965880674679966,0.0012475115207957743,0.0
pulse_high,PULSE,high,overall_no_flags,L5,3,-299.6299999999974,-0.0014744119673260614,0.00024744997333236984,0.0010595956618302121,-0.030626464140038695,0.0001245655932939696,0.0005606163873711073,0.0002692186624552173,0.0006938073159482652,-0.004302093089265713,-3.8400000000000034,-12.53406936805925,-3.980000000000018,0.03738462520645669,0.0018148195712120174,0.0,-0.002366432991519174,0.0027269489536657088,0.0
fqa_base,FQA,base,overall_no_flags,Home,0,0.0,0.0,0.0,-0.00015428633500719907,-0.0005928231691697261,-0.00012068846633064498,0.0,0.0,0.0,-6.066054839071536e-05,-1.285000000000025,-1.7949463179976988,5.3250000000000455,0.06892253476208765,0.27781377080679975,0.0,0.0,0.0,0.0
fqa_base,FQA,base,overall_no_flags,L2/3,1,223.11499999999796,0.0010978988288554148,0.0011084244186739811,-0.00044400269099621054,-0.0012901476818534922,-0.0002687864798591082,-3.9510650397081223e-05,-1.3414046901786929e-05,-2.163568411541958e-05,-8.845905905507587e-05,-0.1800000000000015,-0.4246768161825578,-0.10999999999999943,-0.011570142641130321,0.2886294659302211,0.0,-0.0012559257883462682,0.00015149630854807694,0.0
fqa_base,FQA,base,overall_no_flags,L4,2,-76.80000000000291,-0.00037791555949212574,-0.0001770058532378771,-0.0218388494688299,-0.03313568727376179,-0.002579181797406075,-0.00040292188478302515,4.2950295842829334e-05,5.44285033378146e-05,-0.003714162243114272,-5.270000000000003,-9.672822774615177,1.1200000000000045,0.03291510358634575,0.2764519280089728,0.5691433951927336,0.10707405543787957,0.28043268040348074,0.0
fqa_base,FQA,base,overall_no_flags,L5,3,-146.3149999999987,-0.0007199832693632613,-0.0012560349754989764,-0.03642463268184218,-0.05289408183585553,-0.0038351167681829265,-4.399035641658444e-05,0.0001717010065775057,0.00018406802774300485,-0.014934008332722667,-14.985,-58.78302697199331,-3.910000000000025,-0.05900643169701425,0.2697669819572811,0.5699723060884868,0.10735611369985382,0.27913224637996403,0.0
fqa_current,FQA,current,overall_no_flags,Home,0,0.0,0.0,0.0,-0.00015428633500719907,-0.0005928231691697261,-0.00012068846633064498,0.0,0.0,0.0,-6.066054839071536e-05,-1.285000000000025,-1.7949463179976988,5.3250000000000455,0.06892253476208765,0.27781377080679975,0.0,0.0,0.0,0.0
fqa_current,FQA,current,overall_no_flags,L2/3,1,223.11499999999796,0.0010978988288554148,0.0011084244186739811,-0.00044400269099621054,-0.0012901476818534922,-0.0002687864798591082,-3.9510650397081223e-05,-1.3414046901786929e-05,-2.163568411541958e-05,-8.845905905507587e-05,-0.1800000000000015,-0.4246768161825578,-0.10999999999999943,-0.011570142641130321,0.2886294659302211,0.0,-0.0012559257883462682,0.00015149630854807694,0.0
